frame_num,id_class,id,box_X,box_Y,box_W,box_H,gender
3,0,1,865,7,118,154,0.0
3,0,2,1761,258,68,117,1.0
3,0,3,1566,235,57,133,1.0
3,0,4,1720,204,75,100,0.0
3,0,5,1728,358,140,163,1.0
4,0,1,866,6,118,154,0.0
4,0,2,1761,254,67,116,1.0
4,0,3,1564,234,59,133,1.0
4,0,4,1718,206,77,103,0.0
8,0,1,867,8,116,153,0.0
8,0,2,1760,261,70,115,1.0
8,0,3,1562,234,61,134,1.0
8,0,4,1718,204,76,102,0.0
8,0,5,1737,351,137,166,1.0
10,0,1,867,8,116,154,0.0
10,0,2,1762,254,65,118,1.0
10,0,3,1561,233,63,135,1.0
10,0,4,1721,202,70,98,0.0
10,0,5,1737,350,140,167,1.0
19,0,1,867,6,119,155,0.0
19,0,2,1748,263,76,126,1.0
19,0,3,1552,233,71,132,1.0
19,0,4,1722,206,65,106,0.0
19,0,5,1760,351,119,153,1.0
30,0,1,870,7,116,154,0.0
30,0,2,1743,272,85,135,1.0
30,0,3,1534,229,87,133,1.0
30,0,4,1712,211,73,106,0.0
30,0,5,1772,316,115,171,1.0
36,0,1,868,6,117,156,0.0
36,0,2,1748,281,73,127,1.0
36,0,3,1551,227,71,135,1.0
36,0,4,1712,213,79,115,0.0
36,0,5,1773,286,135,202,1.0
38,0,1,868,6,117,156,0.0
38,0,2,1745,275,79,133,1.0
38,0,3,1551,228,71,135,1.0
38,0,4,1715,214,73,114,0.0
38,0,5,1771,287,139,203,1.0
40,0,1,869,6,117,156,0.0
40,0,2,1742,272,83,136,1.0
40,0,3,1551,228,71,135,1.0
40,0,4,1719,217,71,108,0.0
40,0,5,1777,307,117,171,1.0
42,0,1,868,6,117,156,0.0
42,0,2,1740,264,89,143,1.0
42,0,3,1546,229,75,134,1.0
42,0,4,1724,218,70,106,0.0
42,0,5,1784,307,118,170,1.0
44,0,1,867,7,119,156,0.0
44,0,2,1739,259,91,150,1.0
44,0,3,1553,227,67,136,1.0
44,0,4,1720,221,69,106,0.0
44,0,5,1785,307,115,173,1.0
47,0,1,867,7,118,156,0.0
47,0,2,1738,242,101,175,1.0
47,0,3,1556,227,65,136,1.0
47,0,4,1716,218,71,127,0.0
47,0,5,1791,316,101,160,1.0
47,0,11,1844,251,40,77,1.0
49,0,1,868,7,117,155,0.0
49,0,2,1738,262,90,156,1.0
49,0,3,1554,227,65,136,1.0
49,0,4,1717,217,69,130,0.0
49,0,5,1791,313,101,163,1.0
49,0,11,1843,250,39,76,1.0
50,0,1,869,6,115,155,0.0
50,0,2,1740,277,87,133,1.0
50,0,3,1562,227,61,139,1.0
50,0,4,1718,218,71,132,0.0
50,0,5,1795,313,97,162,1.0
50,0,11,1844,250,38,75,1.0
54,0,1,869,6,112,154,0.0
54,0,2,1734,250,107,174,1.0
54,0,3,1554,225,65,141,1.0
54,0,4,1713,222,83,134,0.0
54,0,5,1799,312,99,154,1.0
57,0,1,868,7,114,154,0.0
57,0,2,1736,257,82,173,1.0
57,0,3,1547,225,73,140,1.0
57,0,4,1718,224,83,133,0.0
57,0,11,1832,241,43,88,1.0
60,0,1,869,6,113,153,0.0
60,0,2,1730,237,97,206,1.0
60,0,3,1544,223,76,141,1.0
60,0,4,1712,219,85,135,0.0
60,0,11,1835,247,46,86,1.0
73,0,1,868,5,114,155,0.0
73,0,3,1531,217,87,147,1.0
73,0,4,1701,214,83,149,0.0
73,0,5,1809,242,105,207,1.0
84,0,1,869,5,116,154,0.0
84,0,3,1533,215,83,151,1.0
84,0,4,1684,222,84,132,0.0
84,0,15,1725,294,155,191,
84,0,20,1844,116,75,198,
85,0,1,869,5,116,154,0.0
85,0,3,1534,215,84,151,1.0
85,0,4,1685,223,82,128,0.0
85,0,15,1728,283,152,206,
85,0,20,1845,116,74,199,
88,0,1,870,5,115,155,0.0
88,0,3,1533,214,84,151,1.0
88,0,4,1683,221,89,131,0.0
88,0,15,1719,264,167,246,
88,0,20,1845,115,74,200,
91,0,1,868,6,117,156,0.0
91,0,3,1531,214,85,151,1.0
91,0,4,1681,221,87,127,0.0
91,0,15,1716,276,167,242,
91,0,20,1841,116,78,199,
96,0,1,867,6,118,156,0.0
96,0,3,1533,215,84,151,1.0
96,0,4,1670,220,100,130,0.0
96,0,15,1715,312,136,201,
96,0,20,1841,117,78,196,
97,0,1,867,6,118,156,0.0
97,0,3,1535,216,81,150,1.0
97,0,4,1670,220,97,136,0.0
97,0,15,1715,337,137,178,
97,0,20,1844,119,75,193,
102,0,1,871,7,111,154,0.0
102,0,2,1705,243,183,287,1.0
102,0,3,1537,219,79,145,1.0
102,0,4,1670,221,95,142,0.0
102,0,20,1842,116,77,196,
107,0,1,871,6,111,153,0.0
107,0,2,1700,239,187,303,1.0
107,0,3,1533,216,80,147,1.0
107,0,4,1668,218,98,154,0.0
107,0,15,1706,368,124,166,
107,0,20,1842,117,77,197,
112,0,1,871,7,111,154,0.0
112,0,3,1532,215,79,147,1.0
112,0,4,1665,233,101,152,0.0
112,0,15,1705,340,129,204,
112,0,20,1841,118,78,198,
112,0,25,1563,232,89,143,
113,0,1,871,7,111,154,0.0
113,0,3,1531,215,81,148,1.0
113,0,4,1665,232,98,153,0.0
113,0,15,1705,347,129,199,
113,0,20,1841,117,78,197,
113,0,25,1563,225,83,152,
114,0,1,870,7,113,154,0.0
114,0,3,1531,215,81,148,1.0
114,0,4,1663,234,99,152,0.0
114,0,15,1700,365,133,192,
114,0,20,1842,118,77,196,
114,0,25,1563,220,94,158,
117,0,1,871,7,113,154,0.0
117,0,3,1533,217,84,147,1.0
